Delivery_person_Age,Delivery_person_Ratings,Vehicle_condition,multiple_deliveries,Time_taken(min),Order_Pickup_Time,Delivery_Distance (m),Ordered_month,Ordered_year,Ordered_time (mins),Weatherconditions_Fog,Weatherconditions_Sandstorms,Weatherconditions_Stormy,Weatherconditions_Sunny,Weatherconditions_Windy,Road_traffic_density_Jam ,Road_traffic_density_Low ,Road_traffic_density_Medium ,Type_of_order_Drinks ,Type_of_order_Meal ,Type_of_order_Snack ,Type_of_vehicle_motorcycle ,Type_of_vehicle_scooter ,Festival_Yes ,City_Semi-Urban ,City_Urban 
21.0,4.7,1.0,1.0,23,10.0,6242.318682701243,2,2022,895,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
23.0,4.7,1.0,1.0,21,10.0,13787.860239172547,3,2022,1050,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
34.0,4.3,0.0,0.0,20,10.0,2930.2578007621214,2,2022,560,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
24.0,4.7,1.0,1.0,41,15.0,19396.61829066159,2,2022,1190,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
29.0,4.5,2.0,1.0,20,10.0,13763.977224427641,4,2022,1225,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,4.0,1.0,1.0,33,15.0,6218.00119018663,3,2022,895,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
33.0,4.2,2.0,1.0,40,10.0,16849.93991801649,3,2022,1230,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
21.0,4.7,0.0,1.0,15,15.0,4540.574388731295,2,2022,1275,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1
25.0,4.1,0.0,2.0,36,5.0,12256.076445468296,3,2022,1220,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
31.0,4.7,2.0,0.0,26,15.0,19618.739348801017,3,2022,1350,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
37.0,5.0,1.0,1.0,20,15.0,1558.1322655568651,3,2022,495,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
33.0,4.3,2.0,1.0,39,15.0,20180.635114114713,3,2022,1170,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
25.0,4.0,1.0,1.0,34,5.0,6116.971669682334,3,2022,745,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29.0,4.5,2.0,1.0,15,15.0,17075.594401072958,3,2022,1115,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
27.0,5.0,0.0,0.0,18,5.0,4470.286489434608,4,2022,1235,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1
35.0,4.3,1.0,0.0,38,10.0,13682.044526080781,3,2022,1400,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
32.0,4.0,0.0,1.0,47,15.0,13973.182653917394,3,2022,1280,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
23.0,4.8,2.0,0.0,12,10.0,16853.61872985359,4,2022,1415,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
31.0,4.8,2.0,1.0,26,15.0,4674.172124263268,4,2022,1355,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
36.0,4.1,0.0,1.0,22,5.0,7601.61677107109,3,2022,1355,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
26.0,4.3,0.0,0.0,21,10.0,7720.324413179964,2,2022,1405,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
38.0,4.9,1.0,1.0,25,5.0,6175.636261016932,2,2022,815,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
32.0,3.5,1.0,0.0,35,10.0,17297.86575291325,3,2022,1295,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
32.0,4.6,2.0,1.0,30,10.0,19914.68696554519,4,2022,1355,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
33.0,4.9,1.0,1.0,22,15.0,10724.517748046026,3,2022,1135,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
20.0,4.7,1.0,0.0,10,10.0,6127.835452844326,4,2022,855,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
20.0,4.8,2.0,1.0,19,10.0,1520.3573134022047,3,2022,660,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
35.0,5.0,2.0,1.0,11,10.0,3073.4537599377686,4,2022,585,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
26.0,4.9,2.0,0.0,11,15.0,3105.131477545897,3,2022,520,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
22.0,4.8,1.0,1.0,28,10.0,10867.426834480479,3,2022,1380,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
35.0,4.3,1.0,1.0,33,5.0,10865.464603780389,3,2022,1045,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
37.0,4.7,0.0,3.0,52,5.0,13682.5162985923,4,2022,1185,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
28.0,4.6,1.0,1.0,22,15.0,16826.241648658117,3,2022,1150,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
37.0,4.9,1.0,1.0,16,5.0,3027.236930975427,2,2022,655,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
23.0,4.9,2.0,0.0,11,5.0,9175.193844437827,3,2022,1300,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
27.0,4.9,1.0,1.0,25,15.0,9315.069177421892,3,2022,1140,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
37.0,4.8,0.0,1.0,26,10.0,6209.021101535612,3,2022,1005,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
33.0,5.0,2.0,1.0,18,10.0,1520.3447277401049,3,2022,690,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
31.0,4.9,1.0,1.0,16,5.0,6037.225392443855,4,2022,910,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
31.0,4.8,2.0,1.0,23,10.0,17078.665498349437,3,2022,1365,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
25.0,5.0,0.0,0.0,15,15.0,4717.601092054723,2,2022,1330,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
28.0,4.8,0.0,1.0,36,10.0,12464.329297636581,4,2022,1245,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
31.0,4.7,2.0,0.0,16,15.0,9121.425981981247,3,2022,1370,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
24.0,4.7,0.0,0.0,19,5.0,14023.23208308448,3,2022,1075,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
39.0,4.6,1.0,1.0,27,15.0,13392.612276663236,2,2022,1365,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
39.0,4.2,2.0,1.0,49,15.0,12580.267822400963,3,2022,1235,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
36.0,4.7,1.0,1.0,30,5.0,9435.201537430714,3,2022,1215,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
25.0,4.8,1.0,0.0,18,10.0,11916.582838288105,3,2022,1345,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
33.0,4.9,2.0,0.0,22,5.0,4663.566689152146,3,2022,1315,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
30.0,4.4,2.0,1.0,34,15.0,10641.157729337541,3,2022,1360,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
33.0,5.0,0.0,0.0,24,5.0,16818.368923732614,3,2022,1430,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
36.0,4.9,2.0,1.0,17,15.0,6128.551257919138,3,2022,925,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
21.0,4.8,2.0,0.0,14,10.0,2996.250036665907,2,2022,620,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
39.0,4.9,2.0,1.0,30,5.0,7342.1757228577935,2,2022,1255,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
23.0,4.8,1.0,1.0,15,10.0,3145.067434621583,3,2022,640,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
35.0,4.8,2.0,1.0,16,10.0,6290.13467763468,3,2022,955,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
39.0,4.6,1.0,1.0,36,5.0,13972.123977178622,3,2022,1210,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
22.0,4.7,1.0,1.0,18,5.0,6081.440797008078,3,2022,730,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
32.0,4.6,1.0,0.0,17,15.0,6080.891507842322,3,2022,930,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
24.0,4.8,1.0,1.0,15,5.0,12580.267822400963,3,2022,1330,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
29.0,4.7,0.0,1.0,17,10.0,3145.067434621583,3,2022,635,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
26.0,4.7,1.0,0.0,10,15.0,9220.373067021215,3,2022,1430,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
20.0,4.5,1.0,1.0,27,15.0,7862.668167410368,2,2022,1270,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
35.0,4.1,1.0,2.0,37,15.0,13969.60642768458,3,2022,1225,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
39.0,4.6,1.0,2.0,44,10.0,13973.206773137714,3,2022,1250,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
34.0,4.7,2.0,1.0,28,10.0,6058.853851669116,3,2022,755,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
27.0,4.7,2.0,1.0,42,15.0,17077.992872162038,3,2022,1260,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
30.0,4.8,1.0,1.0,25,15.0,17297.86575291325,2,2022,1420,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
25.0,4.4,2.0,1.0,39,5.0,17072.871906399556,3,2022,1095,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
25.0,4.7,0.0,0.0,20,5.0,16818.368923732614,3,2022,1100,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1
30.0,5.0,1.0,1.0,31,5.0,2979.5028505764944,3,2022,705,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
24.0,4.6,1.0,0.0,13,10.0,9220.865975037841,3,2022,1245,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
25.0,4.8,1.0,1.0,19,5.0,6175.516093405999,2,2022,765,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
37.0,4.6,0.0,2.0,42,15.0,12209.856560906528,2,2022,1410,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
24.0,5.0,0.0,1.0,23,5.0,1552.6813140972442,3,2022,650,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
25.0,4.2,0.0,1.0,39,15.0,16902.806732498033,3,2022,1285,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
32.0,4.6,2.0,1.0,25,10.0,1509.3577696337532,4,2022,610,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
34.0,4.7,1.0,0.0,15,5.0,6048631.240095335,2,2022,1380,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
38.0,4.9,2.0,1.0,15,15.0,3025.1186390184002,3,2022,520,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
36.0,4.8,2.0,0.0,15,5.0,13407.092693002483,3,2022,1070,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
29.0,5.0,0.0,0.0,18,5.0,7772.343594464245,4,2022,1340,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
36.0,4.7,2.0,0.0,29,10.0,13773.737657079299,4,2022,1420,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
33.0,4.7,0.0,0.0,20,5.0,7790.158927084966,3,2022,1405,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
36.0,4.4,2.0,1.0,39,15.0,6217.834398578936,3,2022,760,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
21.0,4.8,0.0,0.0,19,15.0,16852.834881460105,3,2022,1410,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
25.0,4.8,1.0,1.0,19,15.0,4610.035602260694,3,2022,1435,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
23.0,4.8,0.0,0.0,17,10.0,19879.870677373707,3,2022,1370,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
25.0,4.6,2.0,1.0,15,15.0,1558.0833985948436,3,2022,625,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1
24.0,4.3,0.0,0.0,19,15.0,3025.332706173566,3,2022,525,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1
27.0,4.6,0.0,1.0,29,15.0,13971.948960174928,3,2022,1285,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
23.0,4.8,2.0,1.0,22,5.0,16830.905551931955,3,2022,1355,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
21.0,4.3,1.0,0.0,42,10.0,20207.797933358157,3,2022,1210,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
27.0,4.7,2.0,0.0,12,15.0,3040.6416215384947,3,2022,655,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
32.0,4.2,1.0,1.0,38,10.0,20253.78535947078,3,2022,1235,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
25.0,4.6,0.0,1.0,23,15.0,16721.29600980331,3,2022,1400,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
39.0,4.7,1.0,0.0,15,15.0,2984.5507897866905,2,2022,635,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
27.0,4.6,0.0,1.0,24,5.0,12161.45053143676,3,2022,1425,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
39.0,3.8,1.0,0.0,37,5.0,16822.155609317255,3,2022,1195,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
31.0,4.8,1.0,0.0,24,10.0,7762.556904358444,3,2022,1335,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
31.0,4.8,2.0,0.0,13,5.0,9055.855161965923,3,2022,1390,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
36.0,4.9,0.0,1.0,42,10.0,12074.047498027576,3,2022,1105,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
20.0,4.9,0.0,1.0,17,10.0,13580.373876280879,3,2022,1330,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
24.0,4.6,0.0,0.0,25,15.0,4469.620875558295,4,2022,1250,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
39.0,4.2,1.0,0.0,39,5.0,16634.870118211835,3,2022,1125,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
37.0,4.8,2.0,0.0,18,10.0,6232.139486668102,3,2022,895,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
32.0,4.9,2.0,1.0,28,10.0,6209.021101535612,3,2022,1010,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
22.0,4.5,1.0,1.0,18,15.0,7460.830127736634,2,2022,1340,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
23.0,4.9,1.0,0.0,18,15.0,20253.78535947078,3,2022,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
33.0,4.7,1.0,1.0,49,10.0,16600.975700594587,3,2022,1270,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
27.0,4.6,0.0,1.0,21,5.0,12421.212735966003,3,2022,1410,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
34.0,4.7,2.0,0.0,23,15.0,6118.711846689727,3,2022,860,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
26.0,5.0,2.0,1.0,11,10.0,1520.431947999248,4,2022,615,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
31.0,4.6,0.0,0.0,25,15.0,9087.972744661085,3,2022,1280,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
32.0,4.9,2.0,0.0,18,5.0,3064.4871057616706,3,2022,530,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
27.0,4.7,1.0,0.0,14,5.0,3025.144329113595,3,2022,540,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
21.0,4.9,0.0,2.0,36,15.0,13973.206773137714,3,2022,1065,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
24.0,4.9,1.0,1.0,17,15.0,6290.13467763468,3,2022,995,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
33.0,4.4,0.0,1.0,28,10.0,1536.8503798521726,3,2022,510,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
20.0,4.6,0.0,0.0,44,15.0,13973.177561576551,3,2022,1235,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
31.0,4.3,0.0,1.0,20,15.0,9348.403522662325,3,2022,1405,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
36.0,5.0,1.0,1.0,35,10.0,10602.467987619508,3,2022,1195,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
31.0,4.2,0.0,1.0,50,10.0,17076.258901183188,3,2022,1280,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
39.0,4.1,1.0,1.0,34,5.0,9220.834607108809,3,2022,1305,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
29.0,4.6,1.0,0.0,23,10.0,6080.882967594328,3,2022,890,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
37.0,4.9,0.0,1.0,27,10.0,4674.143698976441,3,2022,1090,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
33.0,4.7,0.0,0.0,26,10.0,6290.13467763468,3,2022,740,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
31.0,3.9,1.0,1.0,35,10.0,10709.003371535417,3,2022,1420,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
37.0,4.6,0.0,1.0,41,5.0,6290.13467763468,3,2022,770,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
24.0,4.6,0.0,0.0,30,10.0,17137.482577838597,3,2022,1070,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
23.0,4.8,1.0,1.0,19,10.0,3145.067434621583,4,2022,625,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
36.0,4.9,1.0,1.0,27,15.0,1572.533729286321,3,2022,550,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
39.0,4.8,0.0,1.0,28,15.0,6218.002348694449,4,2022,750,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
20.0,4.7,0.0,1.0,24,10.0,12463.883024166656,3,2022,1030,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
20.0,5.0,0.0,1.0,36,15.0,20206.58151050797,3,2022,1155,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
29.0,4.3,0.0,0.0,28,5.0,9081.116432461175,2,2022,1430,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
36.0,4.8,2.0,1.0,31,5.0,17138.077427627868,3,2022,1125,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
36.0,4.0,0.0,3.0,44,5.0,13631.343698142908,3,2022,1240,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
22.0,4.8,1.0,1.0,15,15.0,12074.063090452919,3,2022,1330,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
38.0,4.4,0.0,1.0,33,5.0,10723.264172167632,3,2022,1040,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
39.0,4.9,0.0,0.0,30,15.0,7600.994631258685,3,2022,1195,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
24.0,4.9,1.0,1.0,22,10.0,7562.982485200135,3,2022,1095,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
30.0,4.1,0.0,0.0,43,10.0,11007.734763744616,4,2022,1430,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
35.0,4.8,0.0,3.0,48,10.0,13829.314445199354,3,2022,1045,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
33.0,4.5,2.0,1.0,19,15.0,13969.116967730173,3,2022,1425,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
39.0,4.7,1.0,1.0,21,5.0,10923.26745824626,2,2022,1110,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1
31.0,4.3,1.0,0.0,44,10.0,12117.036432265502,3,2022,1295,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
37.0,4.5,2.0,0.0,26,15.0,1552.5704156536744,3,2022,520,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
37.0,4.7,1.0,1.0,26,5.0,4663.566689152146,4,2022,1355,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
33.0,5.0,1.0,1.0,31,5.0,1529.4972211332267,3,2022,705,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
24.0,4.6,2.0,1.0,19,15.0,9435.201537430714,3,2022,1405,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
33.0,4.5,1.0,0.0,18,5.0,11916.757259074619,3,2022,1150,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
39.0,4.7,2.0,1.0,38,15.0,10486.117701549256,2,2022,1125,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
37.0,4.6,1.0,1.0,32,10.0,13583.078662317006,3,2022,1095,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
25.0,4.9,2.0,1.0,17,5.0,7683.1914051315,3,2022,1350,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
28.0,4.8,1.0,1.0,11,5.0,9193.093962702913,3,2022,1140,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
38.0,4.7,2.0,1.0,31,10.0,6217.883647558105,3,2022,790,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
31.0,4.6,0.0,0.0,25,10.0,9326.872529115304,3,2022,1075,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
25.0,4.8,2.0,1.0,22,15.0,9179.538450826047,3,2022,1190,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
35.0,4.9,0.0,3.0,43,5.0,10880.65184853556,3,2022,1275,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
39.0,4.7,0.0,1.0,42,10.0,10565.262855251525,3,2022,1175,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
38.0,3.9,1.0,0.0,42,10.0,12100.062421152574,3,2022,1150,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
35.0,4.7,1.0,1.0,34,10.0,4657.159718107683,3,2022,1280,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
29.0,4.7,1.0,1.0,17,15.0,2981.2178551917964,3,2022,590,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
27.0,4.6,1.0,0.0,25,5.0,4561.26563284071,3,2022,1235,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
38.0,4.3,0.0,1.0,54,10.0,13989.916877275611,4,2022,1275,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0
36.0,4.9,2.0,0.0,21,15.0,10642.28895373868,3,2022,1380,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
26.0,4.1,2.0,1.0,36,5.0,13428.477357470896,2,2022,1185,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
36.0,4.9,1.0,0.0,17,10.0,9327.28515796102,4,2022,1065,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
21.0,4.7,0.0,1.0,16,10.0,1489.792976782627,3,2022,540,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
35.0,4.7,2.0,1.0,27,5.0,12418.394742110448,4,2022,1200,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
20.0,4.5,2.0,1.0,26,5.0,6217.860689144307,3,2022,770,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
23.0,4.6,0.0,2.0,46,15.0,13787.803344501583,3,2022,1300,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
37.0,5.0,0.0,0.0,29,10.0,9080.187058763224,2,2022,1195,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
26.0,4.8,0.0,1.0,23,5.0,9315.44163550089,3,2022,1175,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
26.0,4.9,1.0,0.0,28,15.0,16636.875038860897,3,2022,1030,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
29.0,4.8,0.0,1.0,25,5.0,9192.95116708344,3,2022,1175,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
29.0,4.7,2.0,0.0,11,15.0,3018.2264849996013,3,2022,630,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
21.0,4.9,1.0,1.0,26,10.0,4395.420246829376,2,2022,1090,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
22.0,4.3,0.0,1.0,23,15.0,3109.0591043933687,3,2022,610,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
31.0,4.0,1.0,2.0,39,15.0,11916.582838288105,3,2022,1070,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
36.0,4.8,0.0,1.0,43,15.0,10868.263117988388,3,2022,1075,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
32.0,4.7,2.0,0.0,25,10.0,1554.424975889475,3,2022,580,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
