Delivery_person_Age,Delivery_person_Ratings,Weatherconditions,Road_traffic_density,Vehicle_condition,multiple_deliveries,Festival,Time_taken(min),Delivery_Distance (m),Ordered_time (mins)
36.0,4.1,Stormy,Low ,0.0,1.0,No ,22,7601.61677107109,1355
26.0,4.3,Sandstorms,Low ,0.0,0.0,No ,21,7720.324413179964,1405
38.0,4.9,Cloudy,High ,1.0,1.0,No ,25,6175.636261016932,815
32.0,3.5,Stormy,Jam ,1.0,0.0,No ,35,17297.86575291325,1295
32.0,4.6,Cloudy,Low ,2.0,1.0,No ,30,19914.68696554519,1355
33.0,4.9,Sunny,Medium ,1.0,1.0,No ,22,10724.517748046026,1135
20.0,4.7,Windy,High ,1.0,0.0,No ,10,6127.835452844326,855
20.0,4.8,Sandstorms,Low ,2.0,1.0,No ,19,1520.3573134022047,660
35.0,5.0,Sunny,Low ,2.0,1.0,No ,11,3073.4537599377686,585
26.0,4.9,Stormy,Low ,2.0,0.0,No ,11,3105.131477545897,520
22.0,4.8,Fog,Low ,1.0,1.0,No ,28,10867.426834480479,1380
35.0,4.3,Cloudy,Medium ,1.0,1.0,No ,33,10865.464603780389,1045
37.0,4.7,Sandstorms,Jam ,0.0,3.0,No ,52,13682.5162985923,1185
28.0,4.6,Stormy,Jam ,1.0,1.0,No ,22,16826.241648658117,1150
37.0,4.9,Fog,Low ,1.0,1.0,No ,16,3027.236930975427,655
23.0,4.9,Sunny,Jam ,2.0,0.0,No ,11,9175.193844437827,1300
27.0,4.9,Windy,Medium ,1.0,1.0,No ,25,9315.069177421892,1140
37.0,4.8,Cloudy,Medium ,0.0,1.0,No ,26,6209.021101535612,1005
33.0,5.0,Sunny,High ,2.0,1.0,No ,18,1520.3447277401049,690
31.0,4.9,Fog,Medium ,1.0,1.0,No ,16,6037.225392443855,910
31.0,4.8,Stormy,Low ,2.0,1.0,No ,23,17078.665498349437,1365
25.0,5.0,Cloudy,Low ,0.0,0.0,No ,15,4717.601092054723,1330
28.0,4.8,Sandstorms,Jam ,0.0,1.0,No ,36,12464.329297636581,1245
31.0,4.7,Cloudy,Low ,2.0,0.0,No ,16,9121.425981981247,1370
24.0,4.7,Sunny,Medium ,0.0,0.0,No ,19,14023.23208308448,1075
39.0,4.6,Sunny,Low ,1.0,1.0,No ,27,13392.612276663236,1365
39.0,4.2,Fog,Jam ,2.0,1.0,No ,49,12580.267822400963,1235
36.0,4.7,Cloudy,Jam ,1.0,1.0,No ,30,9435.201537430714,1215
25.0,4.8,Sandstorms,Low ,1.0,0.0,No ,18,11916.582838288105,1345
33.0,4.9,Sunny,Jam ,2.0,0.0,No ,22,4663.566689152146,1315
30.0,4.4,Cloudy,Low ,2.0,1.0,No ,34,10641.157729337541,1360
33.0,5.0,Sandstorms,Low ,0.0,0.0,No ,24,16818.368923732614,1430
36.0,4.9,Fog,Medium ,2.0,1.0,No ,17,6128.551257919138,925
21.0,4.8,Sandstorms,Low ,2.0,0.0,No ,14,2996.250036665907,620
39.0,4.9,Stormy,Jam ,2.0,1.0,No ,30,7342.1757228577935,1255
23.0,4.8,Stormy,Low ,1.0,1.0,No ,15,3145.067434621583,640
35.0,4.8,Fog,Medium ,2.0,1.0,No ,16,6290.13467763468,955
39.0,4.6,Cloudy,Jam ,1.0,1.0,No ,36,13972.123977178622,1210
22.0,4.7,Sunny,High ,1.0,1.0,No ,18,6081.440797008078,730
32.0,4.6,Fog,Medium ,1.0,0.0,No ,17,6080.891507842322,930
24.0,4.8,Sandstorms,Low ,1.0,1.0,No ,15,12580.267822400963,1330
29.0,4.7,Fog,Low ,0.0,1.0,No ,17,3145.067434621583,635
26.0,4.7,Fog,Low ,1.0,0.0,No ,10,9220.373067021215,1430
20.0,4.5,Fog,Jam ,1.0,1.0,No ,27,7862.668167410368,1270
35.0,4.1,Sandstorms,Jam ,1.0,2.0,No ,37,13969.60642768458,1225
39.0,4.6,Fog,Jam ,1.0,2.0,No ,44,13973.206773137714,1250
34.0,4.7,Windy,High ,2.0,1.0,No ,28,6058.853851669116,755
27.0,4.7,Cloudy,Jam ,2.0,1.0,No ,42,17077.992872162038,1260
30.0,4.8,Windy,Low ,1.0,1.0,No ,25,17297.86575291325,1420
25.0,4.4,Cloudy,Medium ,2.0,1.0,No ,39,17072.871906399556,1095
25.0,4.7,Stormy,Medium ,0.0,0.0,No ,20,16818.368923732614,1100
30.0,5.0,Stormy,High ,1.0,1.0,No ,31,2979.5028505764944,705
24.0,4.6,Stormy,Jam ,1.0,0.0,No ,13,9220.865975037841,1245
25.0,4.8,Windy,High ,1.0,1.0,No ,19,6175.516093405999,765
37.0,4.6,Fog,Low ,0.0,2.0,Yes ,42,12209.856560906528,1410
24.0,5.0,Fog,Low ,0.0,1.0,No ,23,1552.6813140972442,650
25.0,4.2,Stormy,Jam ,0.0,1.0,No ,39,16902.806732498033,1285
32.0,4.6,Stormy,Low ,2.0,1.0,No ,25,1509.3577696337532,610
34.0,4.7,Sandstorms,Low ,1.0,0.0,No ,15,6048631.240095335,1380
38.0,4.9,Cloudy,Low ,2.0,1.0,No ,15,3025.1186390184002,520
36.0,4.8,Sunny,Medium ,2.0,0.0,No ,15,13407.092693002483,1070
29.0,5.0,Sunny,Low ,0.0,0.0,No ,18,7772.343594464245,1340
36.0,4.7,Sandstorms,Low ,2.0,0.0,No ,29,13773.737657079299,1420
33.0,4.7,Fog,Low ,0.0,0.0,No ,20,7790.158927084966,1405
36.0,4.4,Cloudy,High ,2.0,1.0,No ,39,6217.834398578936,760
21.0,4.8,Windy,Low ,0.0,0.0,No ,19,16852.834881460105,1410
25.0,4.8,Cloudy,Low ,1.0,1.0,No ,19,4610.035602260694,1435
23.0,4.8,Windy,Low ,0.0,0.0,No ,17,19879.870677373707,1370
25.0,4.6,Stormy,Low ,2.0,1.0,No ,15,1558.0833985948436,625
24.0,4.3,Sandstorms,Low ,0.0,0.0,No ,19,3025.332706173566,525
27.0,4.6,Sandstorms,Jam ,0.0,1.0,No ,29,13971.948960174928,1285
23.0,4.8,Cloudy,Low ,2.0,1.0,No ,22,16830.905551931955,1355
21.0,4.3,Fog,Jam ,1.0,0.0,No ,42,20207.797933358157,1210
27.0,4.7,Sandstorms,Low ,2.0,0.0,No ,12,3040.6416215384947,655
32.0,4.2,Cloudy,Jam ,1.0,1.0,No ,38,20253.78535947078,1235
25.0,4.6,Sunny,Low ,0.0,1.0,No ,23,16721.29600980331,1400
39.0,4.7,Cloudy,Low ,1.0,0.0,No ,15,2984.5507897866905,635
27.0,4.6,Sunny,Low ,0.0,1.0,No ,24,12161.45053143676,1425
39.0,3.8,Windy,Jam ,1.0,0.0,No ,37,16822.155609317255,1195
31.0,4.8,Sandstorms,Low ,1.0,0.0,No ,24,7762.556904358444,1335
31.0,4.8,Sunny,Low ,2.0,0.0,No ,13,9055.855161965923,1390
36.0,4.9,Cloudy,Medium ,0.0,1.0,No ,42,12074.047498027576,1105
20.0,4.9,Sandstorms,Low ,0.0,1.0,No ,17,13580.373876280879,1330
24.0,4.6,Cloudy,Jam ,0.0,0.0,No ,25,4469.620875558295,1250
39.0,4.2,Fog,Medium ,1.0,0.0,No ,39,16634.870118211835,1125
37.0,4.8,Sunny,High ,2.0,0.0,No ,18,6232.139486668102,895
32.0,4.9,Sandstorms,Medium ,2.0,1.0,No ,28,6209.021101535612,1010
22.0,4.5,Sandstorms,Low ,1.0,1.0,No ,18,7460.830127736634,1340
23.0,4.9,Windy,Low ,1.0,0.0,No ,18,20253.78535947078,0
33.0,4.7,Fog,Jam ,1.0,1.0,No ,49,16600.975700594587,1270
27.0,4.6,Sunny,Low ,0.0,1.0,No ,21,12421.212735966003,1410
34.0,4.7,Sunny,High ,2.0,0.0,No ,23,6118.711846689727,860
26.0,5.0,Fog,Low ,2.0,1.0,No ,11,1520.431947999248,615
31.0,4.6,Cloudy,Jam ,0.0,0.0,No ,25,9087.972744661085,1280
32.0,4.9,Fog,Low ,2.0,0.0,No ,18,3064.4871057616706,530
27.0,4.7,Cloudy,Low ,1.0,0.0,No ,14,3025.144329113595,540
21.0,4.9,Windy,Medium ,0.0,2.0,No ,36,13973.206773137714,1065
24.0,4.9,Fog,Medium ,1.0,1.0,No ,17,6290.13467763468,995
33.0,4.4,Sandstorms,Low ,0.0,1.0,No ,28,1536.8503798521726,510
20.0,4.6,Fog,Jam ,0.0,0.0,Yes ,44,13973.177561576551,1235
31.0,4.3,Windy,Low ,0.0,1.0,No ,20,9348.403522662325,1405
36.0,5.0,Fog,Jam ,1.0,1.0,No ,35,10602.467987619508,1195
31.0,4.2,Sandstorms,Jam ,0.0,1.0,No ,50,17076.258901183188,1280
39.0,4.1,Stormy,Jam ,1.0,1.0,No ,34,9220.834607108809,1305
29.0,4.6,Sandstorms,High ,1.0,0.0,No ,23,6080.882967594328,890
37.0,4.9,Fog,Medium ,0.0,1.0,No ,27,4674.143698976441,1090
33.0,4.7,Cloudy,High ,0.0,0.0,No ,26,6290.13467763468,740
31.0,3.9,Cloudy,Low ,1.0,1.0,No ,35,10709.003371535417,1420
37.0,4.6,Windy,High ,0.0,1.0,No ,41,6290.13467763468,770
24.0,4.6,Stormy,Medium ,0.0,0.0,No ,30,17137.482577838597,1070
23.0,4.8,Windy,Low ,1.0,1.0,No ,19,3145.067434621583,625
36.0,4.9,Windy,Low ,1.0,1.0,No ,27,1572.533729286321,550
39.0,4.8,Cloudy,High ,0.0,1.0,No ,28,6218.002348694449,750
20.0,4.7,Sandstorms,Medium ,0.0,1.0,No ,24,12463.883024166656,1030
20.0,5.0,Cloudy,Jam ,0.0,1.0,No ,36,20206.58151050797,1155
29.0,4.3,Sandstorms,Low ,0.0,0.0,No ,28,9081.116432461175,1430
36.0,4.8,Fog,Medium ,2.0,1.0,No ,31,17138.077427627868,1125
36.0,4.0,Sunny,Jam ,0.0,3.0,No ,44,13631.343698142908,1240
22.0,4.8,Windy,Low ,1.0,1.0,No ,15,12074.063090452919,1330
38.0,4.4,Windy,Medium ,0.0,1.0,No ,33,10723.264172167632,1040
39.0,4.9,Fog,Jam ,0.0,0.0,No ,30,7600.994631258685,1195
24.0,4.9,Stormy,Medium ,1.0,1.0,No ,22,7562.982485200135,1095
30.0,4.1,Fog,Low ,0.0,0.0,No ,43,11007.734763744616,1430
35.0,4.8,Fog,Medium ,0.0,3.0,No ,48,13829.314445199354,1045
33.0,4.5,Stormy,Low ,2.0,1.0,No ,19,13969.116967730173,1425
39.0,4.7,Windy,Medium ,1.0,1.0,No ,21,10923.26745824626,1110
31.0,4.3,Windy,Jam ,1.0,0.0,No ,44,12117.036432265502,1295
37.0,4.5,Windy,Low ,2.0,0.0,No ,26,1552.5704156536744,520
37.0,4.7,Windy,Low ,1.0,1.0,No ,26,4663.566689152146,1355
33.0,5.0,Windy,High ,1.0,1.0,No ,31,1529.4972211332267,705
24.0,4.6,Stormy,Low ,2.0,1.0,No ,19,9435.201537430714,1405
33.0,4.5,Sunny,Jam ,1.0,0.0,No ,18,11916.757259074619,1150
39.0,4.7,Fog,Medium ,2.0,1.0,No ,38,10486.117701549256,1125
37.0,4.6,Cloudy,Medium ,1.0,1.0,No ,32,13583.078662317006,1095
25.0,4.9,Sandstorms,Low ,2.0,1.0,No ,17,7683.1914051315,1350
28.0,4.8,Fog,Medium ,1.0,1.0,No ,11,9193.093962702913,1140
38.0,4.7,Windy,High ,2.0,1.0,No ,31,6217.883647558105,790
31.0,4.6,Windy,Medium ,0.0,0.0,No ,25,9326.872529115304,1075
25.0,4.8,Cloudy,Jam ,2.0,1.0,No ,22,9179.538450826047,1190
35.0,4.9,Fog,Jam ,0.0,3.0,No ,43,10880.65184853556,1275
39.0,4.7,Fog,Jam ,0.0,1.0,Yes ,42,10565.262855251525,1175
38.0,3.9,Stormy,Jam ,1.0,0.0,No ,42,12100.062421152574,1150
35.0,4.7,Fog,Jam ,1.0,1.0,No ,34,4657.159718107683,1280
29.0,4.7,Sandstorms,Low ,1.0,1.0,No ,17,2981.2178551917964,590
27.0,4.6,Stormy,Jam ,1.0,0.0,No ,25,4561.26563284071,1235
38.0,4.3,Sandstorms,Jam ,0.0,1.0,Yes ,54,13989.916877275611,1275
36.0,4.9,Windy,Low ,2.0,0.0,No ,21,10642.28895373868,1380
26.0,4.1,Fog,Jam ,2.0,1.0,No ,36,13428.477357470896,1185
36.0,4.9,Sunny,Medium ,1.0,0.0,No ,17,9327.28515796102,1065
21.0,4.7,Sunny,Low ,0.0,1.0,No ,16,1489.792976782627,540
35.0,4.7,Sunny,Jam ,2.0,1.0,No ,27,12418.394742110448,1200
20.0,4.5,Fog,High ,2.0,1.0,No ,26,6217.860689144307,770
23.0,4.6,Fog,Jam ,0.0,2.0,Yes ,46,13787.803344501583,1300
37.0,5.0,Sunny,Jam ,0.0,0.0,No ,29,9080.187058763224,1195
26.0,4.8,Sandstorms,Jam ,0.0,1.0,No ,23,9315.44163550089,1175
26.0,4.9,Stormy,Medium ,1.0,0.0,No ,28,16636.875038860897,1030
29.0,4.8,Cloudy,Jam ,0.0,1.0,No ,25,9192.95116708344,1175
29.0,4.7,Sandstorms,Low ,2.0,0.0,No ,11,3018.2264849996013,630
21.0,4.9,Windy,Medium ,1.0,1.0,No ,26,4395.420246829376,1090
22.0,4.3,Stormy,Low ,0.0,1.0,No ,23,3109.0591043933687,610
31.0,4.0,Fog,Medium ,1.0,2.0,No ,39,11916.582838288105,1070
36.0,4.8,Fog,Medium ,0.0,1.0,No ,43,10868.263117988388,1075
32.0,4.7,Windy,Low ,2.0,0.0,No ,25,1554.424975889475,580
25.0,5.0,Windy,Medium ,1.0,0.0,No ,27,9313.017158714829,1100
27.0,4.5,Windy,Medium ,2.0,1.0,No ,29,6147.106622705506,935
32.0,4.1,Sandstorms,Medium ,0.0,1.0,No ,33,10867.300462045834,1095
23.0,4.7,Fog,Medium ,1.0,1.0,No ,19,6209.259882041872,1015
39.0,4.4,Sunny,Medium ,0.0,1.0,No ,33,20180.85916835158,1090
20.0,4.8,Fog,Jam ,1.0,1.0,No ,28,9435.201537430714,1155
29.0,4.6,Stormy,Jam ,1.0,1.0,No ,29,4494.291162003505,1230
26.0,4.9,Stormy,Low ,2.0,1.0,No ,18,20851.72635753384,1375
25.0,5.0,Stormy,Low ,1.0,1.0,No ,14,1560.5734793807476,655
34.0,4.7,Windy,Medium ,1.0,1.0,No ,30,6210.589610314177,960
31.0,4.9,Sunny,High ,0.0,0.0,No ,28,6175.28357530834,890
24.0,4.7,Fog,Jam ,0.0,1.0,No ,39,20442.92976252901,1220
30.0,4.9,Cloudy,Medium ,2.0,0.0,No ,30,13830.084721845327,1140
36.0,4.8,Sandstorms,Medium ,0.0,1.0,No ,36,19373.74583495492,1095
26.0,4.7,Cloudy,Jam ,0.0,1.0,No ,43,20851.557402660557,1175
20.0,4.8,Stormy,Medium ,2.0,1.0,No ,25,4717.601092054723,1080
33.0,4.7,Fog,Medium ,2.0,1.0,No ,15,7762.60023979039,1090
34.0,4.0,Windy,Jam ,0.0,2.0,No ,39,13766.85500858734,1270
36.0,4.6,Windy,Low ,0.0,1.0,No ,20,12293.677673573286,1420
33.0,4.6,Fog,Low ,1.0,1.0,No ,15,2984.6372692856608,660
22.0,4.8,Sandstorms,Low ,1.0,1.0,No ,16,16788.27586251448,1365
38.0,4.7,Sunny,Low ,2.0,1.0,No ,19,1532.022774064172,660
27.0,4.9,Fog,Low ,2.0,0.0,No ,20,12421.407858787803,1405
32.0,4.8,Sunny,Jam ,2.0,1.0,No ,25,10444.776155165919,1260
26.0,4.8,Cloudy,Jam ,0.0,1.0,No ,43,12420.750050313669,1170
29.0,4.5,Windy,Low ,0.0,0.0,No ,15,19659.373527443684,1375
31.0,4.5,Sunny,Jam ,0.0,0.0,No ,29,12464.18980459368,1225
28.0,4.6,Stormy,High ,2.0,0.0,No ,14,6146.243658393431,755
21.0,4.8,Sunny,Medium ,1.0,1.0,No ,11,8929.08688893574,1135
30.0,4.9,Windy,Low ,1.0,1.0,No ,29,12580.267822400963,1425
29.0,4.7,Cloudy,Medium ,2.0,1.0,No ,11,5992.096714696517,925
20.0,4.8,Sunny,High ,1.0,0.0,No ,14,1529.7232853100245,690
28.0,5.0,Windy,Low ,0.0,0.0,No ,15,13735.94217639692,1355
25.0,4.7,Sandstorms,Low ,0.0,1.0,No ,16,10705.559922396555,1415
38.0,4.8,Stormy,Low ,1.0,1.0,No ,20,3104.8037532854496,625
39.0,4.9,Stormy,Low ,1.0,1.0,No ,26,4610.07305379919,1340
26.0,4.9,Windy,Medium ,1.0,0.0,No ,26,9122.100805601145,1035
33.0,4.4,Windy,Jam ,1.0,0.0,No ,43,10906.036622245483,1290
24.0,4.6,Sandstorms,Medium ,0.0,1.0,No ,25,9088.01379933047,1120
24.0,4.9,Fog,Medium ,0.0,1.0,No ,28,6232.303380306801,910
33.0,4.5,Stormy,Low ,2.0,0.0,No ,17,13611.566722125084,1370
35.0,4.2,Windy,Jam ,1.0,1.0,No ,44,13611.428630407849,1170
27.0,4.2,Stormy,Jam ,0.0,1.0,No ,33,13763.896210757977,1230
29.0,4.5,Sunny,Medium ,0.0,0.0,No ,15,4657.5915949523005,1125
34.0,4.7,Fog,Low ,1.0,1.0,No ,27,19343.48721744278,1390
20.0,4.7,Cloudy,High ,2.0,1.0,No ,25,2984.5125598688364,670
29.0,4.8,Sunny,High ,1.0,1.0,No ,18,6058.876303739157,830
22.0,4.9,Stormy,Medium ,2.0,0.0,No ,21,9088.08409216426,1120
35.0,4.9,Cloudy,Jam ,0.0,2.0,No ,53,10417.065790358709,1275
32.0,4.4,Sandstorms,Jam ,0.0,3.0,No ,42,17164.833902684473,1305
28.0,4.9,Sunny,Jam ,2.0,1.0,No ,20,16113.87241182587,1280
30.0,4.7,Fog,Low ,1.0,0.0,No ,29,20253.68633951746,1365
22.0,4.7,Stormy,Jam ,2.0,0.0,No ,15,17076.258901183188,1210
36.0,4.7,Fog,Medium ,0.0,1.0,No ,30,7790.36212453358,1100
23.0,4.8,Windy,Jam ,0.0,1.0,No ,28,19762.189817859253,1240
29.0,4.5,Sandstorms,Low ,2.0,1.0,No ,15,19839.5614419349,1350
34.0,4.9,Sandstorms,Jam ,0.0,3.0,Yes ,50,17075.594401072958,1310
38.0,4.1,Stormy,High ,0.0,1.0,Yes ,41,1552.7001159059903,710
35.0,5.0,Fog,Medium ,0.0,1.0,No ,37,11007.734763744616,1045
38.0,4.7,Cloudy,Jam ,2.0,1.0,No ,28,9435.201537430714,1315
32.0,4.3,Cloudy,Medium ,1.0,2.0,No ,35,10280.572823486576,1120
20.0,4.5,Windy,Jam ,2.0,1.0,No ,27,10867.300462045834,1225
25.0,4.9,Fog,Jam ,0.0,2.0,No ,43,12417.687564200063,1305
32.0,4.7,Sandstorms,Jam ,2.0,1.0,No ,31,6047919.477618646,1255
39.0,4.1,Cloudy,Jam ,1.0,2.0,No ,39,20442.92976252901,1295
31.0,4.4,Stormy,Jam ,0.0,1.0,No ,47,16660.108123693193,1275
37.0,4.5,Fog,Low ,0.0,1.0,No ,26,7601.385733164932,1410
36.0,4.9,Cloudy,Medium ,2.0,1.0,No ,31,13183.763612802813,1035
37.0,3.8,Sandstorms,Jam ,1.0,1.0,No ,42,20856.833724898494,1245
37.0,4.4,Sandstorms,Jam ,0.0,1.0,No ,39,11904.86548713048,1320
35.0,4.9,Fog,Medium ,2.0,0.0,No ,18,4469.362226704516,1115
22.0,4.8,Sandstorms,Jam ,1.0,1.0,No ,22,13406.355455305591,1240
28.0,4.8,Fog,Low ,0.0,1.0,No ,23,3073.644027723396,505
39.0,4.0,Stormy,Medium ,0.0,0.0,No ,48,20206.58151050797,1065
29.0,4.5,Windy,Low ,1.0,0.0,No ,13,12419.724873245403,1345
39.0,4.6,Sandstorms,High ,2.0,1.0,No ,32,3104.8037105184194,690
25.0,4.9,Sandstorms,Jam ,2.0,0.0,No ,16,20206.316416481972,1305
34.0,5.0,Cloudy,Medium ,2.0,0.0,No ,19,4674.151774555043,1045
22.0,4.8,Sunny,Low ,1.0,1.0,No ,18,3105.3699758611547,580
27.0,5.0,Windy,Jam ,0.0,1.0,No ,27,10444.390862228434,1255
28.0,4.5,Sunny,Medium ,0.0,1.0,No ,25,10710.903359654201,1030
32.0,5.0,Stormy,Medium ,2.0,1.0,No ,31,4674.393132741051,1105
27.0,4.6,Sunny,Medium ,0.0,0.0,No ,20,10756.69787910262,1075
35.0,3.9,Windy,Jam ,1.0,2.0,No ,38,12236.56153955492,1195
22.0,4.6,Windy,Low ,1.0,1.0,No ,19,4663.658229921789,1380
35.0,4.7,Sunny,Jam ,2.0,1.0,No ,17,4717.601092054723,1275
30.0,4.6,Cloudy,Low ,0.0,0.0,No ,24,1514.8048951935007,640
39.0,4.8,Fog,High ,2.0,1.0,No ,26,3108.9883297657852,680
33.0,4.8,Sandstorms,Medium ,2.0,1.0,No ,28,9219.905581616991,1080
20.0,4.7,Sandstorms,Medium ,2.0,1.0,No ,16,12256.68734259227,1030
20.0,4.7,Fog,Medium ,2.0,0.0,No ,17,4717.601092054723,1105
34.0,4.2,Windy,Low ,0.0,0.0,No ,24,9326.940869812142,1390
37.0,4.3,Stormy,High ,2.0,1.0,No ,34,2980.249384918756,715
20.0,4.8,Cloudy,Low ,1.0,1.0,No ,16,1530.2594894332385,570
33.0,4.9,Windy,Low ,1.0,1.0,No ,26,7601.614738321588,1360
21.0,5.0,Fog,Medium ,1.0,1.0,No ,25,19660.943947619933,1030
33.0,4.6,Fog,Medium ,0.0,2.0,No ,49,10602.417764362079,1030
24.0,4.6,Windy,Medium ,2.0,0.0,No ,24,12419.60204102968,1110
36.0,4.7,Sandstorms,High ,2.0,2.0,No ,32,3145.067434621583,710
30.0,4.6,Sunny,Medium ,0.0,1.0,No ,26,4588.898780683796,1140
32.0,4.9,Sandstorms,Low ,1.0,1.0,No ,24,13829.931792649826,1435
28.0,4.6,Stormy,Jam ,2.0,0.0,No ,16,19975.808791439344,1185
21.0,4.7,Windy,Jam ,2.0,1.0,No ,27,19373.74583495492,1230
39.0,4.9,Fog,High ,0.0,1.0,No ,25,3052.706857073023,670
32.0,4.7,Cloudy,Low ,0.0,0.0,No ,26,3104.8037105184194,540
20.0,4.5,Sandstorms,Jam ,1.0,1.0,No ,25,9178.605957040862,1170
36.0,5.0,Fog,Low ,2.0,1.0,No ,15,1490.1538808207615,500
28.0,4.8,Sunny,Low ,1.0,1.0,No ,18,3105.3645449072988,660
32.0,4.5,Fog,Jam ,0.0,1.0,No ,30,7661.250453808297,1230
39.0,4.4,Cloudy,Jam ,1.0,1.0,No ,46,17076.258901183188,1185
30.0,4.7,Windy,Low ,0.0,1.0,No ,24,16721.43013885536,1345
32.0,4.4,Sandstorms,Medium ,0.0,1.0,No ,37,6128.41937845769,960
23.0,4.6,Windy,Jam ,0.0,1.0,No ,27,13610.877575672199,1290
31.0,4.2,Windy,Medium ,2.0,1.0,No ,32,9074.34222926449,1045
37.0,4.6,Stormy,High ,2.0,1.0,No ,28,3058.950642133055,705
20.0,4.5,Sandstorms,Jam ,0.0,1.0,No ,29,7601.8702825474775,1215
28.0,4.5,Sandstorms,Low ,0.0,1.0,No ,27,1489.9271643865588,625
22.0,4.9,Cloudy,Low ,1.0,0.0,No ,11,1554.5816630911854,505
20.0,4.7,Cloudy,Medium ,1.0,1.0,No ,13,9219.708856174128,1035
34.0,4.8,Windy,Low ,1.0,1.0,No ,27,19618.968653878263,1365
38.0,4.8,Windy,High ,1.0,1.0,No ,25,6209.259882041872,755
32.0,4.5,Cloudy,High ,2.0,1.0,No ,27,6036.244196933988,740
34.0,4.9,Sunny,Low ,2.0,1.0,No ,26,16853.347148215085,1375
33.0,3.9,Windy,Medium ,2.0,1.0,No ,32,13612.594236925657,1045
34.0,4.5,Windy,Low ,1.0,1.0,No ,25,3025.144329113595,635
32.0,4.6,Stormy,Jam ,2.0,1.0,No ,32,4717.601092054723,1305
34.0,4.7,Sunny,Jam ,0.0,1.0,No ,29,7772.523200443429,1190
26.0,4.6,Cloudy,Jam ,1.0,0.0,No ,32,10641.436955070953,1170
31.0,4.0,Cloudy,Low ,0.0,1.0,No ,35,12420.69253996503,1425
39.0,4.8,Sunny,High ,0.0,1.0,No ,27,6081.185877714606,890
27.0,4.8,Sunny,Low ,1.0,0.0,No ,15,1572.533729286321,490
32.0,5.0,Cloudy,Jam ,2.0,1.0,No ,27,7683.355299930933,1315
32.0,4.5,Stormy,Medium ,0.0,1.0,No ,30,7568.033295671673,1030
39.0,4.1,Sunny,Medium ,0.0,1.0,No ,32,10564.540523828973,1120
36.0,4.8,Stormy,Low ,2.0,0.0,No ,25,1532.3350156090414,615
37.0,4.1,Windy,Medium ,0.0,1.0,No ,38,4657.13301884333,1065
37.0,4.8,Fog,Jam ,1.0,1.0,No ,26,9054.052950169496,1260
38.0,3.7,Stormy,Jam ,1.0,1.0,No ,31,16853.347148215085,1230
28.0,4.7,Stormy,High ,2.0,1.0,No ,28,3018.2264849996013,700
34.0,3.8,Stormy,Medium ,1.0,0.0,No ,31,16852.11869078063,1120
32.0,4.9,Cloudy,Low ,1.0,1.0,No ,29,17074.904296042027,1395
